Transaction ID,Amount ($),Time (Seconds Since Last Transaction),Location,Transaction Type,Device Used,Fraud
TXN00044,2622,139,China,Bank Transfer,Laptop,0
TXN00045,7051,4924,Canada,Bank Transfer,Desktop,0
TXN00046,9565,4942,USA,Bank Transfer,Mobile,0
TXN00047,6245,3374,USA,Wire Transfer,ATM Machine,0
TXN00048,5496,1316,India,ATM Withdrawal,Mobile,0
TXN00049,7109,74,USA,Wire Transfer,Mobile,0
TXN00050,9680,3847,Canada,Bank Transfer,Mobile,1
TXN00051,785,484,China,Bank Transfer,Mobile,0
TXN00052,8236,4112,UK,Bank Transfer,Mobile,0
TXN00053,3162,1550,India,ATM Withdrawal,ATM Machine,0
TXN00054,1595,1360,USA,Online Purchase,Desktop,0
TXN00055,3953,1897,Canada,Online Purchase,Mobile,0
TXN00056,7565,4225,Germany,Wire Transfer,Laptop,0
TXN00057,3083,511,India,Wire Transfer,Desktop,0
TXN00058,1031,423,China,Online Purchase,Desktop,0
TXN00059,3853,2433,Germany,Bank Transfer,Laptop,0
TXN00060,7999,1907,China,ATM Withdrawal,Laptop,0
TXN00061,9702,4328,Germany,Wire Transfer,Laptop,0
TXN00062,6883,959,UK,ATM Withdrawal,Laptop,0
TXN00063,5685,825,China,Bank Transfer,Laptop,0
TXN00064,171,65,Germany,Bank Transfer,Mobile,0
TXN00065,4307,4929,China,Wire Transfer,Desktop,0
TXN00066,1005,4711,India,Online Purchase,Laptop,0
TXN00067,7639,3349,China,Online Purchase,Laptop,0
TXN00068,9477,801,Canada,Online Purchase,ATM Machine,0
TXN00069,1026,278,China,Bank Transfer,Desktop,0
TXN00070,7879,1718,Germany,Bank Transfer,Desktop,0
TXN00071,6449,2414,China,ATM Withdrawal,Mobile,0
TXN00072,7902,1239,UK,ATM Withdrawal,Desktop,0
TXN00073,6873,4524,USA,ATM Withdrawal,Laptop,0
TXN00074,7926,1487,India,Bank Transfer,ATM Machine,0
TXN00075,8539,4682,Canada,Online Purchase,Desktop,0
TXN00076,888,3299,Germany,Bank Transfer,ATM Machine,0
TXN00077,9278,4471,China,ATM Withdrawal,Laptop,0
TXN00078,4897,2996,China,ATM Withdrawal,ATM Machine,0
TXN00079,4869,93,China,ATM Withdrawal,Desktop,0
TXN00080,6341,3532,India,ATM Withdrawal,Desktop,0
TXN00081,8581,1841,Canada,Wire Transfer,Mobile,0
TXN00082,8694,3528,USA,ATM Withdrawal,Laptop,0
TXN00083,7218,1622,UK,Bank Transfer,Mobile,0
TXN00084,5286,1562,Canada,Wire Transfer,Mobile,0
TXN00085,2072,1417,UK,Online Purchase,Laptop,0
TXN00086,74,2965,Canada,Bank Transfer,Desktop,0
TXN00087,8016,4191,Germany,Bank Transfer,ATM Machine,0
TXN00088,2578,1131,USA,Online Purchase,Mobile,0
TXN00089,5473,1414,USA,Bank Transfer,Desktop,0
TXN00090,2037,3598,India,Wire Transfer,Desktop,0
TXN00091,2705,3745,Canada,Online Purchase,Mobile,0
TXN00092,9697,2119,China,Wire Transfer,Mobile,0
TXN00093,5268,664,USA,ATM Withdrawal,Mobile,0
TXN00094,5628,2635,Canada,Online Purchase,Desktop,0
TXN00095,6746,2775,China,Wire Transfer,Laptop,0
TXN00096,401,3970,India,ATM Withdrawal,Laptop,0
TXN00097,5902,3491,Canada,Wire Transfer,Mobile,0
TXN00098,3571,1572,Canada,Wire Transfer,ATM Machine,0
TXN00099,6194,1524,Germany,Bank Transfer,Desktop,0
TXN00100,3109,988,Canada,ATM Withdrawal,ATM Machine,0
TXN00101,6288,3239,Germany,Bank Transfer,Mobile,0
TXN00102,8402,3846,China,ATM Withdrawal,Desktop,0
TXN00103,3114,3694,China,ATM Withdrawal,Laptop,0
TXN00104,7225,99,USA,Bank Transfer,Laptop,0
TXN00105,2464,2289,India,Bank Transfer,ATM Machine,0
TXN00106,9006,1515,Germany,Bank Transfer,Mobile,0
TXN00107,2741,4298,USA,ATM Withdrawal,ATM Machine,0
TXN00108,8164,634,UK,ATM Withdrawal,Mobile,0
TXN00109,9772,4842,USA,ATM Withdrawal,Laptop,0
TXN00110,5066,4586,China,ATM Withdrawal,Desktop,0
TXN00111,8120,579,UK,ATM Withdrawal,Laptop,0
TXN00112,3850,3960,USA,ATM Withdrawal,ATM Machine,1
TXN00113,1038,273,Canada,Wire Transfer,Desktop,0
TXN00114,7395,4882,India,Bank Transfer,Mobile,0
TXN00115,512,3955,Germany,ATM Withdrawal,Laptop,0
TXN00116,6920,3928,Canada,Wire Transfer,Mobile,0
TXN00117,9072,453,UK,Online Purchase,Laptop,0
TXN00118,6948,1176,India,Wire Transfer,Mobile,0
TXN00119,4498,4912,USA,Bank Transfer,Laptop,0
TXN00120,216,414,Canada,Online Purchase,Laptop,0
TXN00121,5144,1551,China,ATM Withdrawal,Mobile,0
TXN00122,5987,4527,China,Bank Transfer,Laptop,0
TXN00123,7731,4991,India,Online Purchase,Laptop,0
TXN00124,7045,1947,China,Wire Transfer,Laptop,0
TXN00125,1494,192,Germany,Online Purchase,ATM Machine,0
TXN00126,7868,41,India,Bank Transfer,Laptop,0
TXN00127,873,1860,India,Online Purchase,Mobile,0
TXN00128,2800,1333,China,Wire Transfer,Mobile,0
TXN00129,7418,3450,India,Online Purchase,ATM Machine,0
TXN00130,8765,136,USA,Wire Transfer,Laptop,0
TXN00131,5126,4202,UK,Online Purchase,ATM Machine,0
TXN00132,6029,4615,Canada,Wire Transfer,ATM Machine,1
TXN00133,1767,1942,UK,Wire Transfer,Laptop,0
TXN00134,7584,1566,Canada,Wire Transfer,Mobile,0
TXN00135,6384,4222,China,ATM Withdrawal,Laptop,0
TXN00136,6902,389,Germany,Wire Transfer,ATM Machine,0
TXN00137,1688,1559,Germany,Bank Transfer,Desktop,0
TXN00138,3252,2122,China,Wire Transfer,ATM Machine,0
TXN00139,4646,1029,China,ATM Withdrawal,Mobile,0
TXN00140,1069,3535,India,ATM Withdrawal,Laptop,0
TXN00141,6678,82,Germany,Bank Transfer,Desktop,0
TXN00142,9924,776,UK,Wire Transfer,ATM Machine,0
TXN00143,3167,3039,China,ATM Withdrawal,ATM Machine,0
TXN00144,5925,4374,UK,ATM Withdrawal,ATM Machine,0
TXN00145,9799,2888,Canada,Online Purchase,Laptop,0
TXN00146,2703,1879,UK,Online Purchase,Laptop,0
TXN00147,3637,2272,Germany,Bank Transfer,ATM Machine,0
TXN00148,9565,1608,Canada,Online Purchase,Laptop,1
TXN00149,5460,3140,UK,Wire Transfer,Desktop,0
TXN00150,1673,606,India,Online Purchase,Desktop,0
TXN00151,9731,4736,India,ATM Withdrawal,Mobile,0
TXN00152,5602,3415,Germany,Bank Transfer,Laptop,0
TXN00153,7402,3666,India,Online Purchase,Laptop,0
TXN00154,1316,2145,China,Bank Transfer,ATM Machine,0
TXN00155,6786,4271,Canada,Wire Transfer,Desktop,0
TXN00156,5874,3766,Germany,Wire Transfer,Laptop,0
TXN00157,9484,1377,Canada,Online Purchase,Laptop,0
TXN00158,7536,3463,UK,Online Purchase,Laptop,0
TXN00159,8911,348,China,Online Purchase,ATM Machine,0
TXN00160,5585,1,Germany,ATM Withdrawal,Desktop,0
TXN00161,5540,63,UK,Wire Transfer,Laptop,0
TXN00162,4423,1784,UK,ATM Withdrawal,Laptop,0
TXN00163,3758,3815,UK,Online Purchase,ATM Machine,0
TXN00164,673,226,UK,Wire Transfer,Mobile,0
TXN00165,2008,1043,UK,ATM Withdrawal,ATM Machine,0
TXN00166,8004,845,Germany,ATM Withdrawal,Laptop,0
TXN00167,1505,2681,India,Bank Transfer,Desktop,0
TXN00168,3314,4120,UK,ATM Withdrawal,Desktop,0
TXN00169,3773,1235,China,Online Purchase,Laptop,0
TXN00170,5242,1985,Germany,Online Purchase,Mobile,0
TXN00171,1863,4257,USA,ATM Withdrawal,ATM Machine,0
TXN00172,6595,1279,India,Bank Transfer,Laptop,0
TXN00173,1301,1595,China,Bank Transfer,Laptop,0
TXN00174,3591,2552,UK,Bank Transfer,Laptop,0
TXN00175,7564,1953,Germany,ATM Withdrawal,ATM Machine,0
TXN00176,7290,1696,Germany,ATM Withdrawal,Desktop,0
TXN00177,1646,955,UK,Bank Transfer,ATM Machine,0
TXN00178,3706,3292,China,ATM Withdrawal,Laptop,0
TXN00179,708,357,Germany,Wire Transfer,Desktop,0
TXN00180,4747,3596,Canada,Online Purchase,Mobile,0
TXN00181,864,969,India,ATM Withdrawal,Laptop,0
TXN00182,8174,242,China,Wire Transfer,Desktop,0
TXN00183,5865,3447,UK,ATM Withdrawal,Desktop,0
TXN00184,7402,4235,China,Wire Transfer,Desktop,0
TXN00185,6538,2145,Canada,Bank Transfer,Laptop,0
TXN00186,5259,147,China,Online Purchase,Mobile,0
TXN00187,5182,543,USA,ATM Withdrawal,Desktop,0
TXN00188,1717,692,UK,Wire Transfer,Laptop,0
TXN00189,5801,1026,India,Wire Transfer,Desktop,0
TXN00190,9935,4051,UK,Bank Transfer,ATM Machine,0
TXN00191,5545,4006,USA,Online Purchase,Desktop,0
TXN00192,4941,3360,UK,Online Purchase,Laptop,0
TXN00193,3520,2952,UK,Online Purchase,Desktop,0
TXN00194,212,730,India,Wire Transfer,Desktop,0
TXN00195,4228,4500,USA,ATM Withdrawal,ATM Machine,0
TXN00196,8968,2556,UK,ATM Withdrawal,ATM Machine,0
TXN00197,4399,1151,Canada,Bank Transfer,Laptop,0
TXN00198,2337,1736,UK,Online Purchase,Mobile,0
TXN00199,8014,1039,Germany,ATM Withdrawal,Mobile,0
TXN00200,2941,2913,UK,Wire Transfer,Mobile,0
TXN00201,7787,4841,India,Wire Transfer,Mobile,0
TXN00202,207,2541,Germany,Online Purchase,Laptop,0
TXN00203,7135,4415,Canada,Bank Transfer,Laptop,0
TXN00204,1940,1243,Canada,Bank Transfer,ATM Machine,1
TXN00205,6297,773,Canada,Online Purchase,ATM Machine,0
TXN00206,8810,1917,USA,Wire Transfer,Mobile,0
TXN00207,9349,3413,Canada,Bank Transfer,ATM Machine,0
TXN00208,4292,2500,China,Wire Transfer,Laptop,0
TXN00209,2521,3441,India,Wire Transfer,Mobile,0
TXN00210,9996,3546,USA,ATM Withdrawal,Desktop,0
TXN00211,669,1214,Germany,Bank Transfer,Desktop,0
TXN00212,2821,2932,China,Wire Transfer,Desktop,0
TXN00213,7108,419,USA,ATM Withdrawal,ATM Machine,0
TXN00214,6556,3782,India,Wire Transfer,Mobile,0
TXN00215,9571,4961,Germany,Online Purchase,Desktop,0
TXN00216,1996,789,India,Bank Transfer,Mobile,0
TXN00217,8348,1872,India,Wire Transfer,Laptop,0
TXN00218,2921,4591,Germany,Bank Transfer,Desktop,0
TXN00219,1744,2026,Canada,ATM Withdrawal,Desktop,0
TXN00220,1853,2447,UK,Bank Transfer,Desktop,0
TXN00221,8690,4824,India,Wire Transfer,Laptop,0
TXN00222,2986,561,Canada,Bank Transfer,Mobile,0
TXN00223,1969,2652,Germany,Online Purchase,Desktop,0
TXN00224,5769,3905,India,Online Purchase,Desktop,0
TXN00225,6704,540,UK,ATM Withdrawal,Mobile,0
TXN00226,2395,4756,Germany,Wire Transfer,ATM Machine,0
TXN00227,4746,3137,USA,Bank Transfer,ATM Machine,0
TXN00228,1812,3290,USA,ATM Withdrawal,Desktop,0
TXN00229,8165,2611,Canada,ATM Withdrawal,Desktop,0
TXN00230,8130,4913,USA,Wire Transfer,ATM Machine,0
TXN00231,6626,1945,China,Bank Transfer,ATM Machine,0
TXN00232,5544,3146,India,ATM Withdrawal,Desktop,1
TXN00233,4071,2759,India,ATM Withdrawal,Mobile,0
TXN00234,272,3261,Germany,Wire Transfer,ATM Machine,0
TXN00235,6297,4108,China,Wire Transfer,Desktop,0
TXN00236,8825,1896,India,ATM Withdrawal,Laptop,0
TXN00237,9218,2501,Germany,Bank Transfer,Mobile,0
TXN00238,2059,2830,UK,ATM Withdrawal,Desktop,0
TXN00239,5433,3874,India,Online Purchase,Laptop,0
TXN00240,4558,48,Canada,Wire Transfer,ATM Machine,0
TXN00241,3118,2365,India,Online Purchase,Laptop,0
TXN00242,7168,2257,UK,Bank Transfer,Laptop,0
TXN00243,7410,4673,UK,Wire Transfer,Laptop,0
TXN00244,3180,754,India,Bank Transfer,ATM Machine,0
TXN00245,9884,2803,UK,Online Purchase,Laptop,0
TXN00246,2265,4650,Germany,Bank Transfer,ATM Machine,0
TXN00247,1164,3653,India,Wire Transfer,Desktop,0
TXN00248,4509,403,India,Online Purchase,Laptop,0
TXN00249,6305,2087,USA,Wire Transfer,Mobile,0
TXN00250,6207,2228,Canada,Online Purchase,Desktop,0
TXN00251,9898,3411,India,ATM Withdrawal,ATM Machine,0
TXN00252,1658,2991,USA,Bank Transfer,Desktop,0
TXN00253,5549,4644,UK,Bank Transfer,Laptop,0
TXN00254,9647,1150,Canada,Wire Transfer,ATM Machine,0
TXN00255,4209,63,Canada,ATM Withdrawal,Laptop,0
TXN00256,8455,4940,UK,Wire Transfer,Desktop,0
TXN00257,2567,3154,Germany,Wire Transfer,Mobile,0
TXN00258,5602,1009,USA,Online Purchase,Desktop,0
TXN00259,108,2032,India,ATM Withdrawal,Desktop,0
TXN00260,2210,1323,USA,Online Purchase,Laptop,0
TXN00261,2971,2082,UK,Wire Transfer,Mobile,0
TXN00262,4983,752,UK,Online Purchase,Laptop,0
TXN00263,4443,4145,Germany,Online Purchase,Laptop,0
TXN00264,2879,658,Canada,Bank Transfer,Laptop,0
TXN00265,966,1661,Canada,ATM Withdrawal,ATM Machine,0
TXN00266,8362,701,UK,Bank Transfer,Laptop,0
TXN00267,5709,1081,USA,ATM Withdrawal,Mobile,0
TXN00268,6954,2157,Canada,Bank Transfer,Laptop,0
TXN00269,4503,1541,India,Wire Transfer,Laptop,0
TXN00270,9502,3033,India,Bank Transfer,Mobile,0
TXN00271,4921,1984,USA,ATM Withdrawal,Desktop,0
TXN00272,3997,315,Germany,ATM Withdrawal,Laptop,0
TXN00273,9729,3082,India,ATM Withdrawal,Desktop,0
TXN00274,6025,4734,USA,Bank Transfer,Laptop,0
TXN00275,1228,2315,USA,Online Purchase,Laptop,0
TXN00276,4506,2136,UK,Bank Transfer,ATM Machine,0
TXN00277,4745,1650,Canada,Online Purchase,Mobile,0
TXN00278,4565,3220,UK,Bank Transfer,Mobile,0
TXN00279,9156,3801,Canada,Wire Transfer,Desktop,0
TXN00280,8060,2479,Germany,Wire Transfer,ATM Machine,0
TXN00281,3456,4068,Germany,Bank Transfer,Laptop,0
TXN00282,1055,1776,Germany,Bank Transfer,ATM Machine,0
TXN00283,6903,1967,USA,Bank Transfer,Mobile,0
TXN00284,1703,1768,USA,Wire Transfer,Laptop,0
TXN00285,3446,3816,UK,Online Purchase,Laptop,0
TXN00286,8764,242,India,ATM Withdrawal,Desktop,0
TXN00287,5905,4798,Canada,Online Purchase,ATM Machine,0
TXN00288,3364,2950,Canada,Bank Transfer,Laptop,0
TXN00289,235,4837,Germany,Wire Transfer,Mobile,0
TXN00290,4903,4877,Canada,ATM Withdrawal,Desktop,0
TXN00291,7032,2257,China,Online Purchase,Mobile,0
TXN00292,9161,4112,Germany,Bank Transfer,Desktop,0
TXN00293,5610,3369,Canada,Wire Transfer,ATM Machine,0
TXN00294,8006,367,UK,Wire Transfer,Desktop,0
TXN00295,9017,2828,Canada,ATM Withdrawal,ATM Machine,0
TXN00296,7693,1253,USA,Online Purchase,ATM Machine,0
TXN00297,4652,2488,UK,Wire Transfer,Laptop,1
TXN00298,7689,4786,UK,Bank Transfer,ATM Machine,1
TXN00299,8218,3604,UK,Bank Transfer,Desktop,0
TXN00300,7349,3522,China,ATM Withdrawal,Desktop,0
TXN00301,9445,4943,China,Online Purchase,Laptop,0
TXN00302,2215,4518,Canada,Wire Transfer,Desktop,0
TXN00303,1079,1644,Germany,ATM Withdrawal,ATM Machine,0
TXN00304,3454,1213,Canada,Online Purchase,Desktop,0
TXN00305,1070,4704,Canada,Online Purchase,Mobile,0
TXN00306,2337,20,Canada,Wire Transfer,Mobile,0
TXN00307,3430,676,USA,ATM Withdrawal,Laptop,0
TXN00308,311,4478,UK,ATM Withdrawal,ATM Machine,0
TXN00309,616,609,India,ATM Withdrawal,Desktop,0
TXN00310,3180,62,Germany,ATM Withdrawal,Laptop,0
TXN00311,709,1266,Germany,Online Purchase,Laptop,0
TXN00312,5098,2286,UK,ATM Withdrawal,ATM Machine,0
TXN00313,9341,1155,Germany,ATM Withdrawal,Laptop,0
TXN00314,200,1629,UK,Wire Transfer,Mobile,0
TXN00315,990,1627,Germany,Bank Transfer,Laptop,0
TXN00316,2985,3717,Canada,Online Purchase,Desktop,0
TXN00317,6112,1443,USA,Wire Transfer,Mobile,0
TXN00318,1194,1654,Germany,Wire Transfer,Mobile,0
TXN00319,3337,2503,Germany,Wire Transfer,Mobile,1
TXN00320,3404,3270,India,Online Purchase,Desktop,0
TXN00321,8329,282,USA,Bank Transfer,ATM Machine,0
TXN00322,1826,4982,Canada,Online Purchase,Laptop,0
TXN00323,5864,1025,USA,ATM Withdrawal,Laptop,0
TXN00324,6719,4819,USA,Bank Transfer,Mobile,0
TXN00325,579,3404,Germany,Online Purchase,Mobile,0
TXN00326,5452,1236,China,Online Purchase,Laptop,0
TXN00327,1905,4183,Germany,ATM Withdrawal,Desktop,0
TXN00328,2743,4761,UK,Online Purchase,Mobile,0
TXN00329,3873,4958,India,Bank Transfer,Mobile,0
TXN00330,7465,786,USA,Wire Transfer,Desktop,0
TXN00331,4024,3318,UK,Online Purchase,ATM Machine,0
TXN00332,1696,1668,Canada,Online Purchase,Mobile,0
TXN00333,3019,3009,UK,Bank Transfer,ATM Machine,0
TXN00334,7816,3195,China,Online Purchase,Desktop,0
TXN00335,164,4790,USA,Wire Transfer,Laptop,0
TXN00336,1419,3776,Germany,ATM Withdrawal,Laptop,0
TXN00337,794,2447,USA,ATM Withdrawal,ATM Machine,0
TXN00338,8106,3791,India,ATM Withdrawal,Mobile,0
TXN00339,7570,534,USA,Wire Transfer,Laptop,0
TXN00340,7353,402,UK,ATM Withdrawal,Desktop,0
TXN00341,7216,3664,UK,Bank Transfer,Mobile,0
TXN00342,5606,130,Germany,Bank Transfer,ATM Machine,0
TXN00343,5811,2340,Germany,Wire Transfer,ATM Machine,0
TXN00344,2816,4372,Germany,Wire Transfer,ATM Machine,0
TXN00345,547,2960,Canada,Wire Transfer,ATM Machine,0
TXN00346,5996,1859,India,Bank Transfer,Desktop,1
TXN00347,1851,2974,Canada,Wire Transfer,Laptop,0
TXN00348,8726,4151,Canada,Wire Transfer,ATM Machine,0
TXN00349,6981,3650,Canada,ATM Withdrawal,Laptop,0
TXN00350,5635,2787,USA,Wire Transfer,Laptop,0
TXN00351,2960,3098,China,Online Purchase,ATM Machine,0
TXN00352,8002,3513,USA,ATM Withdrawal,Mobile,0
TXN00353,4790,4861,Germany,Bank Transfer,ATM Machine,0
TXN00354,2378,1221,India,Bank Transfer,Desktop,0
TXN00355,6665,642,Canada,Bank Transfer,Mobile,0
TXN00356,8183,3315,USA,ATM Withdrawal,ATM Machine,0
TXN00357,4505,724,UK,Bank Transfer,Laptop,0
TXN00358,9173,4898,Canada,ATM Withdrawal,Laptop,0
TXN00359,6012,738,USA,ATM Withdrawal,Mobile,0
TXN00360,6624,4854,UK,Online Purchase,Desktop,0
TXN00361,9368,1300,USA,Online Purchase,Laptop,0
TXN00362,5929,3481,USA,Online Purchase,Desktop,0
TXN00363,863,340,Canada,Online Purchase,Laptop,0
TXN00364,4156,153,USA,Online Purchase,Mobile,0
TXN00365,3779,1422,Germany,Bank Transfer,ATM Machine,0
TXN00366,584,3052,UK,Bank Transfer,Laptop,0
TXN00367,1158,427,India,Bank Transfer,Mobile,0
TXN00368,6303,3559,China,Online Purchase,Mobile,0
TXN00369,6467,1136,Canada,Wire Transfer,ATM Machine,0
TXN00370,7519,2373,UK,Bank Transfer,ATM Machine,0
TXN00371,9917,3330,Germany,Bank Transfer,Mobile,0
TXN00372,4787,950,UK,Wire Transfer,Laptop,0
TXN00373,3864,1374,India,Online Purchase,Desktop,0
TXN00374,2501,957,Canada,ATM Withdrawal,Desktop,0
TXN00375,3134,1702,UK,Wire Transfer,ATM Machine,0
TXN00376,5701,2942,Germany,Wire Transfer,Laptop,0
TXN00377,3061,2483,Canada,Bank Transfer,Mobile,0
TXN00378,14,1304,Germany,Bank Transfer,Desktop,0
TXN00379,5232,371,Canada,Online Purchase,Desktop,0
TXN00380,5325,2981,China,ATM Withdrawal,Laptop,0
TXN00381,4879,2297,India,ATM Withdrawal,Mobile,1
TXN00382,886,4799,China,Wire Transfer,ATM Machine,0
TXN00383,9193,2126,USA,Online Purchase,Desktop,0
TXN00384,7037,2967,Germany,ATM Withdrawal,Laptop,0
TXN00385,4152,4146,China,Wire Transfer,ATM Machine,0
TXN00386,6976,2743,Germany,Bank Transfer,Laptop,0
TXN00387,7089,4022,Canada,ATM Withdrawal,Mobile,0
TXN00388,7997,2365,Germany,Wire Transfer,Laptop,0
TXN00389,6809,763,USA,ATM Withdrawal,ATM Machine,0
TXN00390,4475,4063,Germany,Online Purchase,Mobile,0
TXN00391,645,1005,Canada,Wire Transfer,Desktop,0
TXN00392,1703,3756,Canada,Online Purchase,ATM Machine,0
TXN00393,9884,2847,China,Wire Transfer,Laptop,0
TXN00394,4762,350,India,Bank Transfer,Desktop,0
TXN00395,8321,2965,UK,ATM Withdrawal,Mobile,0
TXN00396,840,687,China,Bank Transfer,ATM Machine,0
TXN00397,5187,4638,USA,Online Purchase,Mobile,0
TXN00398,9571,3127,UK,ATM Withdrawal,Mobile,0
TXN00399,8942,4457,Germany,Bank Transfer,Laptop,0
TXN00400,8318,2756,China,Wire Transfer,Laptop,0
TXN00401,5959,3525,UK,Wire Transfer,Laptop,0
TXN00402,2848,3625,China,Bank Transfer,Desktop,0
TXN00403,1160,2733,Germany,ATM Withdrawal,Desktop,0
TXN00404,7570,1694,Canada,Online Purchase,Laptop,0
TXN00405,1941,2893,China,Wire Transfer,Desktop,0
TXN00406,9214,3812,USA,Online Purchase,ATM Machine,0
TXN00407,1674,4181,UK,ATM Withdrawal,Mobile,0
TXN00408,1091,685,UK,ATM Withdrawal,Laptop,0
TXN00409,522,4341,UK,Wire Transfer,Mobile,0
TXN00410,7815,2920,China,Online Purchase,Mobile,0
TXN00411,5247,3757,Germany,ATM Withdrawal,Mobile,0
TXN00412,569,3284,China,Online Purchase,ATM Machine,0
TXN00413,3682,4692,China,Wire Transfer,ATM Machine,0
TXN00414,7414,4027,Canada,Wire Transfer,Desktop,0
TXN00415,3353,1157,UK,ATM Withdrawal,Mobile,0
TXN00416,4080,3062,Germany,ATM Withdrawal,Desktop,0
TXN00417,9672,4446,India,Online Purchase,Mobile,1
TXN00418,590,2330,Germany,ATM Withdrawal,Laptop,0
TXN00419,7014,1293,China,Wire Transfer,Mobile,0
TXN00420,8140,1885,USA,ATM Withdrawal,Mobile,0
TXN00421,3157,1561,Germany,Bank Transfer,ATM Machine,0
TXN00422,4259,984,UK,Wire Transfer,Laptop,0
TXN00423,1689,2068,USA,Online Purchase,Desktop,0
TXN00424,3516,1864,India,ATM Withdrawal,Laptop,0
TXN00425,7263,1980,India,ATM Withdrawal,ATM Machine,0
TXN00426,2754,1737,USA,Wire Transfer,ATM Machine,0
TXN00427,9445,2453,India,Wire Transfer,Mobile,0
TXN00428,5198,1919,USA,Online Purchase,ATM Machine,0
TXN00429,2151,701,China,Wire Transfer,ATM Machine,0
TXN00430,6627,4047,USA,Online Purchase,Mobile,0
TXN00431,2489,2074,China,ATM Withdrawal,ATM Machine,0
TXN00432,6494,4662,UK,Online Purchase,ATM Machine,0
TXN00433,9837,3754,UK,Online Purchase,Desktop,0
TXN00434,7431,395,India,Online Purchase,Mobile,0
TXN00435,9959,1957,Canada,ATM Withdrawal,Mobile,0
TXN00436,4462,3049,Canada,Bank Transfer,Desktop,0
TXN00437,5891,3453,USA,Bank Transfer,Desktop,0
TXN00438,6675,523,China,Online Purchase,Desktop,0
TXN00439,2859,1563,UK,Wire Transfer,Desktop,0
TXN00440,7400,2910,UK,Bank Transfer,Mobile,0
TXN00441,6915,2850,UK,ATM Withdrawal,Desktop,0
TXN00442,2499,550,India,Online Purchase,Desktop,0
TXN00443,9833,1469,UK,Bank Transfer,ATM Machine,0
TXN00444,9217,833,Canada,ATM Withdrawal,Mobile,0
TXN00445,9550,4483,Germany,Online Purchase,Desktop,0
TXN00446,4621,1422,India,Bank Transfer,ATM Machine,0
TXN00447,2849,286,USA,Online Purchase,Mobile,0
TXN00448,8537,2746,Germany,Bank Transfer,Desktop,0
TXN00449,5888,3766,India,Bank Transfer,Desktop,0
TXN00450,9097,4465,India,Wire Transfer,ATM Machine,0
TXN00451,6313,1446,China,Bank Transfer,Laptop,1
TXN00452,861,1467,Germany,Wire Transfer,Mobile,0
TXN00453,1697,1777,Germany,ATM Withdrawal,ATM Machine,0
TXN00454,6843,3656,Canada,Bank Transfer,Desktop,0
